brain.fetal.to.adult	liver.fetal.to.adult
100_g_at	-1.51011524150156	-1.16175324752806
1063_s_at	-2.11822334746704	-0.118147804691259
1091_at	-2.40402800260835	0.744310233453351
1107_s_at	-1.77457227791671	-1.09480722270318
1160_at	-1.52179907131197	-0.96779098739591
118_at	-5.44558985404051	0.211580760194371
1194_g_at	3.50106897390018	-1.36230557326749
1247_g_at	2.2530457633009	-1.2629936140554
1264_at	1.17270632913737	-0.642540054351969
1346_at	-3.91297178043797	0.279562514981478
1427_g_at	3.63481808321334	0.59519030387373
1529_at	1.65991825465936	-0.123366220364028
1530_g_at	2.08858928031577	-0.472984093261092
1566_at	1.20366332604158	-0.154322330991146
162_at	-1.66148630120682	-0.00891825540911562
1629_s_at	2.03646367998384	-0.0698728488980365
1641_s_at	-0.685024241286404	-0.183361286641055
1674_at	1.51639743733387	0.400062609349091
1780_at	-0.387835528168821	-0.0402067337368734
1782_s_at	1.21595223989627	0.72188258435215
183_at	2.53247241558658	0.425058850237154
1863_s_at	0.859381137953852	-0.54157550571113
1903_at	2.00576009169237	1.12225381261243
1913_at	2.3919593896796	1.42075644202484
1917_at	1.29591519260434	0.652280260350473
1945_at	-2.1194688354411	4.03773886835539
2052_g_at	-1.33660118136326	-1.24642773530684
2062_at	-1.32712094253883	0.0571963519763834
216_at	-3.57901315456438	-3.30633185547861
31399_at	0.825964737264242	-0.521177797809125
31486_s_at	5.10380248512622	0.28095782821363
31506_s_at	1.74356558249729	7.5603586676458
31516_f_at	1.71038495243177	0.549664635629691
31605_at	1.08230387438161	0.299513991886286
31638_at	-2.04061263724599	-1.24799461473308
31786_at	0.830635440850015	1.08391263227081
31810_g_at	1.35599044931984	-0.967977150241799
31813_at	-4.74589439595146	0.247167525799606
31869_at	0.7915367104437	0.863818999154534
32028_at	0.427883157931342	-0.51376134621057
32041_r_at	1.31251272366473	-0.102063450294914
32059_at	2.02564999309304	2.6394757468123
32076_at	-2.21173696983147	-0.180840211395267
32109_at	-1.70644616489847	-1.29383472217786
32138_at	-2.99332548475701	-1.75667666334093
32157_at	-0.862539253959385	-0.439484452855165
32219_at	0.571301310634935	1.23539906765331
32224_at	1.61615969269879	0.143587311169152
32243_g_at	-3.83301819230254	0.489266041522754
32260_at	-0.991145765426388	1.25314902435441
32273_at	6.14315065311523	-0.577920377266657
32306_g_at	3.13447017627538	4.59117353061116
32321_at	-2.2368191915451	-0.304539521221008
32346_at	1.86982606015878	-0.569592588470591
32385_at	1.14633312640563	0.779435992120825
32548_at	0.792502544730192	1.06144634932186
32626_at	1.94206216355528	0.178821914156019
32642_at	1.96878868679795	-0.814963848812167
32650_at	-1.9909428638645	0.233210483364111
32668_at	2.53392708991713	2.53379317695026
32728_at	-1.14675145363917	0.306845827943499
32747_at	-1.54977240003797	-1.15459514730862
32786_at	-0.609033517295199	1.52263411889919
32789_at	1.80442430278136	1.45731390842534
32791_at	1.07442687828144	0.18506412591049
32796_f_at	-4.70453149896054	-0.351187315717842
32818_at	3.29392790252269	0.100240562180488
32822_at	-1.2720439236389	0.0715425458682706
32862_at	1.90937066177998	-0.392501721086459
32872_at	3.7309826389133	0.516135149022145
330_s_at	-4.59671862982013	0.0497232383819775
33073_at	1.74083794411131	0.939037094296109
33074_g_at	1.63383827513499	0.000525468585805822
33131_at	4.55592931705131	2.15778962633212
33157_at	2.51365856926345	0.44387331219889
33169_at	2.01399431681079	1.08143891436765
33173_g_at	2.85083628602643	1.41615159150069
33214_at	-0.835418018815245	-0.295776735460633
33355_at	2.029205985767	1.63230352866684
33381_at	1.59707889911417	0.250885248093851
33409_at	-1.7383080634564	-0.563847860820502
33436_at	1.13010060716297	0.0850064627892086
33441_at	-2.20857794441647	-2.15980504433435
33464_at	2.08455401382664	0.782752276461926
33560_at	3.41411351556833	-1.02616806177645
33672_f_at	-1.81846699970262	-1.9817676137776
33683_at	2.01640802017626	1.20553207486467
33712_at	-1.54040848036463	0.34658457515923
33753_at	3.40545310559621	0.66546075159973
33787_at	-1.7746374388937	-1.26843459791043
33852_at	1.96465829840086	0.677176770364509
33891_at	1.07005892066747	1.54208898135559
33925_at	-3.01615773810242	2.59996748833987
33982_f_at	2.39497329421971	-1.53546933880118
34213_at	1.4805338183282	2.41687537178026
34217_at	1.98214339240832	-0.561183260131045
34253_at	4.07698426056402	3.1700806289488
34279_at	1.54568189202925	-0.322212977376719
34297_at	-1.92200982461553	-3.37561836766557
34335_at	2.22688543203107	2.50433380904231
34337_s_at	2.39648708824253	2.12049962305943
34380_at	-1.3378148673965	-0.645254854610931
34393_r_at	1.91701196228238	1.84553583534686
34397_at	3.10270005036486	2.4432627319458
34417_at	0.836710247420399	0.281554556260557
34569_at	4.70844551328672	0.193851460784073
34585_at	4.40289068367784	0.0651340181480897
34719_at	-1.14854778998815	-0.379643497593893
34773_at	0.553655856288382	0.45071624379097
34808_at	-1.19795417576324	-0.681790587081194
34849_at	-1.04430370274863	-0.297587917991642
34858_at	-0.441761919386096	1.02563691964562
35067_at	1.41804301631238	0.0567070980316604
35163_at	0.808256111727054	0.990371711124917
35266_at	-0.667926327915877	-1.44810161094042
35290_at	1.90957123394733	1.01558377053551
35292_at	1.10155867692501	0.626252314879054
35294_at	1.19171686723362	0.897522851953124
35326_at	-1.26121961118442	-1.26069460495503
35336_at	-1.36712497125002	-0.212879235384728
35339_at	0.385769986441712	-0.546297942321402
35343_at	-2.25042441510811	0.192767734052433
35364_at	1.24460001781201	0.662457681693145
35400_at	1.81532572882293	0.277643506787264
35422_at	2.9933826033368	0.113915881185788
35431_g_at	1.22714076470973	0.926633945259262
35632_at	2.63203350268045	0.49933058573871
35638_at	3.62178971671595	-0.237890672789524
35648_at	2.18316052744415	-1.05727079341956
35788_at	1.84173898643145	0.220093102607474
35816_at	-1.14047658174674	1.47717524077446
35817_at	-3.6947718762206	-0.118748668090922
36049_at	-1.44544727135103	0.768173817267272
36052_at	1.08523879675575	1.21343540333147
36126_at	-1.61530177590646	-0.410988319341572
36149_at	3.86085773607975	3.12563703856458
36167_at	-1.12194643061782	-0.279382811789649
36211_at	-2.5339765078211	-0.0365262131035458
36235_at	1.03751253913506	-0.442390297508778
36240_at	1.6259167615754	-0.110252340366912
36285_at	-1.81160879165824	0.246141328320894
36371_at	1.95071685043086	-0.365308991995901
36392_at	1.90290423492673	0.315393517799484
36444_s_at	1.2187353991337	-0.537497724335939
36491_at	6.07129797784544	0.348740791070419
36524_at	-1.9416997109877	0.069565877279075
36533_at	0.779485196748072	0.993506960044071
36554_at	-1.30553755974585	-0.552988838484161
36591_at	-4.77976877008768	-0.136641073560654
36637_at	-2.21354624772223	0.0279124533735882
36681_at	-3.3149795199399	1.07403831544116
36692_at	1.19211307001938	0.79424374934973
36720_at	-0.623970730773628	-0.0312165427700357
36760_at	0.649526163147387	0.772408656873479
36780_at	-2.12919179675971	-1.03490720367263
36783_f_at	3.71266107098999	0.89168495224979
36822_at	1.32182944324244	0.156786907345356
36824_at	0.405148330944176	-0.193753686196837
36858_at	-0.873740201163857	1.8547758166446
36894_at	-3.16003612264834	0.0764119737997202
36925_at	-3.79002727172119	0.931538719708955
36934_at	0.477559488939457	0.633383869751644
37011_at	-0.423288347536661	0.598621094061018
37026_at	1.72069594267349	1.25565314712532
37047_at	-1.14826404697879	0.697533248273906
37151_at	1.14891757952516	-0.229200161752921
37226_at	0.385008715131633	-0.600464852169662
37305_at	4.08512510707694	0.74903870261638
37320_at	-0.305056188983967	-0.394281740495632
37363_at	2.79817943126649	0.0991426957511665
37426_at	3.64465267195114	3.23752374116968
37478_at	3.63515252934387	0.88963553712498
37602_at	-3.07127928423826	-2.24967639557664
37614_g_at	-4.98098072009284	-1.48423326899903
37640_at	-0.985738693272143	1.00858639544061
37650_at	0.893703504997681	1.91855206674337
37672_at	0.767842874008281	0.754329490701625
377_g_at	4.08620622441498	0.340647563673599
37775_at	0.895998670235533	-1.27780952859556
37794_at	0.823903575348517	-0.699469062251783
37858_at	3.79390358011915	0.169216750114099
37921_at	-2.07841610230141	0.646387788954192
38003_s_at	-2.66944075978428	0.472514525508988
38032_at	-1.41136206356883	0.696293445636956
38051_at	-5.25529579376493	-1.39101417365188
38086_at	2.90093875244144	1.5904888170947
38096_f_at	-6.53535300735464	-1.86397878116284
38115_at	-1.83267747131885	0.203072484708585
38181_at	1.02409406716562	0.0279874043184876
38215_at	1.35792940193595	-1.06072324861312
38308_g_at	-1.98906343009648	-0.458917610067004
38316_at	-4.14838168688758	-3.1327690325514
38342_at	-2.10208237261763	-0.339022869778731
38359_at	1.22240433521392	-0.476973061527069
38393_at	-0.778157864393318	0.460127013879733
38407_r_at	-3.58231989773889	-3.7731294656351
38446_at	3.93420367014969	0.692375472778659
38448_at	3.93248336607176	-0.360759357623342
38526_at	2.21352722528356	0.834643403673422
38565_at	-1.57943114352443	2.34729924724583
38573_at	1.23870870681962	0.062623075750273
38580_at	1.71569425924525	-0.55476514228187
38653_at	-2.86014407922175	1.36101482192915
38654_at	1.78930741461323	1.30612987674611
38663_at	-0.767545195349886	-0.378193443833117
38668_at	1.28342181430626	0.553482739867615
38682_at	-1.21995628281609	0.589055372757672
38700_at	-4.10680465135581	-1.36400509746258
38716_at	-0.991708661553442	-0.0849885812458986
38719_at	-2.13096448533518	0.356197272035647
38751_i_at	-2.02980889221716	0.259265506758844
38855_s_at	-2.28996228495271	1.36689278195259
38986_at	1.69359164279994	1.07731172794188
39031_at	-3.32781213473836	-0.512167726739396
39083_at	0.915415427387067	0.67446366868043
39213_at	2.43912759423856	-1.62929934742319
39240_at	2.01953864820134	-0.694947719737836
39243_s_at	2.20664869930865	2.17189643425933
39296_at	2.71667751567274	0.683810829297078
39333_at	2.17954470883527	3.02992730381029
39395_at	-2.33068122328211	-0.397532304603016
39507_at	1.89044707771959	1.05802846801002
39517_at	0.469988131541974	0.25184234436194
39545_at	-1.44653726767622	2.30786202746519
39550_at	-0.665890781021382	-0.238763429236258
39576_at	-3.93318534694274	-0.115623248741516
39642_at	1.10550161034679	0.286604976880855
39795_at	-1.15339462362393	0.54711493851843
398_at	1.14264359350964	0.861868592015558
39803_s_at	-2.13133898544403	-1.73461842342489
39838_at	2.57879687701881	0.337283085393244
39842_at	-2.20033591575685	-0.411625867465496
39983_at	1.05672514231775	-0.0682897035589312
40022_at	1.95072188630471	-0.845641220297371
40034_r_at	1.84334155592149	0.0194133174569542
40041_at	2.2804261680915	0.0680186208085498
40043_at	-4.66218856087068	2.08085958948128
40045_g_at	1.04154370482956	-0.362908169664646
40049_at	1.44426927105842	0.604001338109698
40107_at	-2.2593379632433	-0.18536558010474
40133_s_at	-1.31924542023593	-2.21849972249777
40185_at	-2.24356635053263	-0.199467948448781
40211_at	2.6197686507025	2.03687071372559
