brain.1	fetal.brain.1	bg1	bg2
1064_at	184.768754571649	365.36123200381	0	0
1065_at	172.06539822103	277.637714575583	0	0
1066_at	79.713730616844	195.58829024839	0	0
1067_at	201.796184550748	245.359568330583	0	0
1068_g_at	88.3249647393736	54.6292537417418	0	0
1069_at	84.6041568380174	30.1810909562786	0	0
107_at	70.4782307193208	48.8999198601889	0	0
1070_at	105.618287442544	150.83840802335	0	0
1071_at	57.3891623143338	49.7441340645911	0	0
1072_g_at	294.039946960891	73.7323713314317	0	0
1073_at	793.529870501314	1536.2728714046	0	0
1074_at	305.012031911724	830.327533591558	0	0
1075_f_at	28.4352669270114	69.189317074795	0	0
1076_at	36.1245492042645	92.2165960115657	0	0
1077_at	22.0008316450116	15.1530927114873	0	0
1078_at	19.2209228794468	21.1211802280658	0	0
1079_g_at	52.9930952601431	213.391836561136	0	0
108_g_at	901.831227237271	525.750700198003	0	0
1080_s_at	34.5298849052336	16.0534065939239	0	0
1081_at	1237.30771827253	2045.23639507868	0	0
1082_at	125.829126155258	392.672124125991	0	0
1083_s_at	131.594786872316	144.642303134006	0	0
1084_at	43.7951336733637	122.084979530472	0	0
1085_s_at	315.905325407979	333.602683136375	0	0
1086_at	64.8379167021436	91.3798381770296	0	0
1087_at	149.019807000718	128.356156584173	0	0
1088_at	128.501573345326	78.0974295876065	0	0
1089_i_at	319.494593055249	33.6056694012371	0	0
109_at	1177.00856484397	710.574571817857	0	0
1090_f_at	173.670081144068	159.541068193022	0	0
1091_at	12007.7031429192	2713.91432744284	0	0
1092_at	237.45873326455	618.715996825374	0	0
1093_at	57.4075667783891	57.5480030520157	0	0
1094_g_at	179.25995464309	254.634371629731	0	0
1095_s_at	43.7898029195302	14.9510856901616	0	0
1096_g_at	111.477636697832	53.6270848993706	0	0
1097_s_at	194.665185762767	204.744430009699	0	0
1098_at	23.542660488322	12.3386481121472	0	0
1099_s_at	300.41535849951	133.226532107725	0	0
110_at	213.918152090072	829.675469365485	0	0
1100_at	417.381726562862	284.684183663924	0	0
1101_at	1220.66955609552	1027.40866755667	0	0
1102_s_at	93.0491357506997	89.1707295586744	0	0
1103_at	70.8911006209529	159.699920347306	0	0
1104_s_at	3710.50713615566	2546.81106280237	0	0
1105_s_at	1453.97834093173	1096.17499610574	0	0
1106_s_at	400.435679826023	409.909907440913	0	0
1107_s_at	1367.8650831455	395.396168106204	0	0
1108_s_at	42.0128270551982	43.8734206043483	0	0
1109_s_at	51.3413915548416	35.6685543095709	0	0
111_at	611.567014929385	362.991516598423	0	0
1110_at	159.005104302494	255.50605687278	0	0
1111_at	27.9010398586669	47.9099908286444	0	0
1112_g_at	385.312780977171	657.427758838064	0	0
1113_at	35.9906713135721	14.8592376304585	0	0
1114_at	266.275396379507	72.960969190257	0	0
1115_at	47.5099558843856	63.3475401881284	0	0
1116_at	185.82182279827	444.701347521827	0	0
1117_at	26.6310109882074	64.8784640236263	0	0
1118_at	58.3267461519038	32.7865110478729	0	0
1119_at	851.833402611953	586.351595522983	0	0
112_g_at	18.6912713510976	141.525182564845	0	0
1120_at	553.125709900134	591.033382842453	0	0
1121_g_at	640.559935463165	557.364595888646	0	0
1122_f_at	756.35898281047	585.880124325486	0	0
1123_at	40.7844897607028	31.1885910011809	0	0
1124_at	952.31853592565	1103.61176627512	0	0
1125_s_at	13.2361636206161	18.4233431212271	0	0
1126_s_at	40.2656915368599	47.9684461667325	0	0
1127_at	394.162281560212	334.232265995036	0	0
1128_s_at	195.284501528544	252.091139990653	0	0
1129_at	58.252520305915	24.582912090089	0	0
113_i_at	710.235561062942	92.1070687838623	0	0
1130_at	2473.46761375199	1055.5177148455	0	0
1131_at	1628.77297296542	491.591772122048	0	0
1132_s_at	339.850424139735	556.689458605557	0	0
1133_at	42.7203007631143	26.291433535484	0	0
1134_at	1858.03620172293	1306.63920599517	0	0
1135_at	635.68716524204	688.697121494067	0	0
1136_at	328.68743558097	317.054006650458	0	0
1137_at	321.328570759016	262.284026281897	0	0
1138_at	1423.18357141917	837.736076418124	0	0
1139_at	16.4823299496947	266.984912719741	0	0
114_r_at	49.3399879220476	40.9457362926201	0	0
1140_at	175.294654008849	174.240191258246	0	0
1141_at	240.101928184486	300.932773902748	0	0
1142_at	319.405174858114	370.440230441723	0	0
1143_s_at	293.107475309553	467.378241963236	0	0
1144_at	42.8921044775452	45.858449077847	0	0
1145_g_at	381.613224750995	362.80348266992	0	0
1146_at	41.3967366978618	50.5611505147396	0	0
1147_at	915.936201909297	2056.34367976499	0	0
1148_s_at	174.372487746716	510.07083639912	0	0
1149_at	35.7026215040104	24.0739128988674	0	0
115_at	48.3117731916476	623.864316027396	0	0
1150_at	283.183189994349	331.726465867431	0	0
1151_at	1220.53013735667	5966.46718066726	0	0
1152_i_at	449.494102404406	1000.23226813152	0	0
1153_f_at	155.95371143531	177.896091597439	0	0
1154_at	591.120349321429	534.349687581034	0	0
1155_at	368.397584815933	378.945339623827	0	0
1156_at	44.7095326607425	155.067072171081	0	0
1157_s_at	207.538280831268	100.730630047358	0	0
1158_s_at	10261.8219515274	4762.6826695373	0	0
1159_at	7.5167473699521	6.01933077890953	0	0
116_at	23.7541008789516	148.83024027336	0	0
1160_at	3153.25376371471	1116.40915145791	0	0
1161_at	13853.0476826591	8991.66158111457	0	0
1162_g_at	420.48512889354	254.743465800554	0	0
1163_at	174.414862049625	285.276464130538	0	0
1164_at	139.407251268362	404.561935174707	0	0
1165_at	47.4013515641378	33.6035655565138	0	0
1166_at	2115.35642661289	1677.35046746715	0	0
1167_s_at	641.198862237644	1132.97468033466	0	0
1168_at	120.342499098044	92.4118349294195	0	0
1169_at	561.199675246163	199.010942245095	0	0
117_at	323.634573230177	365.935683156302	0	0
1170_at	155.274658485144	279.66319576508	0	0
1171_s_at	84.6175096704401	417.067976415267	0	0
1172_at	34.0397003989088	72.9594838963275	0	0
1173_g_at	2139.0161862842	1548.85149834497	0	0
1174_at	16.0565350321501	20.8024086604749	0	0
1175_s_at	16.0342100459917	8.79031248458655	0	0
1176_at	161.644255777998	253.445692383003	0	0
1177_at	75.8934568346154	110.539105762781	0	0
1178_at	49.1062095962583	255.071472921626	0	0
1179_at	10337.4242121616	8329.2934670151	0	0
118_at	1274.78562703207	28.677676048577	0	0
1180_g_at	16157.5879056075	10914.0195250778	0	0
1181_at	131.046774246013	45.6868746199515	0	0
1182_at	205.307084827101	235.472379390997	0	0
1183_at	35.7714657143256	32.7629969805724	0	0
1184_at	804.326264360154	615.911571905979	0	0
1185_at	314.100243843249	432.439307472475	0	0
1186_at	112.886231650385	195.772455235262	0	0
1187_at	77.6125978137664	171.460419296742	0	0
1188_g_at	36.0755452282105	119.221317345257	0	0
1189_at	555.138420910731	953.583817950786	0	0
119_at	102.471483900039	296.546620649609	0	0
1190_at	18.3498697926402	511.643714017209	0	0
1191_s_at	1237.12445882019	1084.0395111303	0	0
1192_at	1281.50628742977	1031.05177960736	0	0
1193_at	71.3585613967445	155.724765963329	0	0
1194_g_at	16.3916278513355	186.085697165814	0	0
1195_s_at	263.107984873301	323.177163479473	0	0
1196_at	65.5682679117963	281.696479528356	0	0
1197_at	107.666757255441	83.5872545891971	0	0
1198_at	151.23663467686	113.847247166506	0	0
1199_at	1433.15937208898	2322.09385994288	0	0
120_at	117.228247690802	198.869101950316	0	0
1200_at	80.7109355584741	54.8937639491624	0	0
1201_at	697.051780519279	409.227756380693	0	0
1202_g_at	785.82131331632	678.089330759096	0	0
1203_at	18.9286248401049	34.8106028213849	0	0
1204_at	149.342384335455	23.011660925387	0	0
1205_at	13.4282477811362	32.2180736545855	0	0
1206_at	1192.99574139501	229.27850500175	0	0
1207_at	102.722321831779	214.918936227042	0	0
1208_at	56.9729951652763	23.773123371277	0	0
1209_at	18.3562605417336	135.244082632185	0	0
121_at	1974.89283339646	2015.8841408772	0	0
1210_s_at	60.8530688099441	282.110974455665	0	0
1211_s_at	386.315728133629	332.613465343983	0	0
1212_at	76.311045209128	124.147654928688	0	0
1213_at	472.120932505952	760.739312907744	0	0
1214_s_at	13.375521097012	13.3198719511839	0	0
1215_at	31.1721662909018	19.9998768960585	0	0
1216_at	224.745807944708	220.681917224201	0	0
1217_g_at	867.72061936634	561.373948527604	0	0
1218_at	770.529064693092	325.774337275897	0	0
1219_at	45.3852922888766	27.86811591515	0	0
122_at	84.7883259216893	56.4435884721105	0	0
1220_g_at	185.570634920022	301.552115495742	0	0
1221_at	276.311577330561	448.191746740655	0	0
1222_at	140.41391299808	337.723836482121	0	0
1223_at	337.323429252157	65.8660374976754	0	0
1224_at	743.053223120703	664.240055349883	0	0
1225_g_at	1814.31591999753	1189.07491130096	0	0
1226_at	166.548684690257	400.433630792207	0	0
1227_g_at	20.7174631787839	89.275108922135	0	0
1228_s_at	355.202666897315	576.416240065386	0	0
1229_at	73.8444354355992	54.9521044713855	0	0
123_at	68.1606403324363	111.248488806392	0	0
1230_g_at	159.305836187926	251.629155740393	0	0
1231_at	90.9177716069356	150.346813768468	0	0
1232_s_at	109.206496727509	98.4592105284849	0	0
1233_s_at	87.7463221649863	96.3169263078135	0	0
1234_at	61.9954049637257	419.625664207994	0	0
1235_at	8136.31725189916	10152.1108063692	0	0
