brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
1050_at	4.2950846218348	1.9133653069752	1.17829995911675	1.09397134114669	2.47710659199	1.58842724562043	2.13201311651832	4.79285034148483
1051_g_at	5.35294996438954	5.32597108415644	5.59280111850011	4.75978239836355	5.41556739762641	6.41762034237582	6.88410734163923	6.95111046940198
1052_s_at	9.95553535643139	9.95834385712381	9.17177881487323	9.33851127267103	13.3249715276428	13.2946779835532	11.0061399429772	11.090891355695
1053_at	7.91915213718093	8.00662765247673	8.32156332266002	8.17926322566574	8.21559765600694	8.95898058391847	8.18830604583712	8.07448313444723
1054_at	6.06723828765045	5.95502119936676	6.77677983439852	6.77938036681913	6.63640391561569	7.4001875817101	6.81700140337875	5.48765469970467
1055_g_at	7.55414863972589	6.66287064985449	8.16866297843273	8.59294942818208	7.88084040273363	8.57472078616666	8.13008512860217	7.51791385718311
1056_s_at	6.94062345814638	6.31687872111363	6.69980747195754	7.40562973770062	7.24914360414481	7.66133292629162	7.89740690358461	7.90862416798489
1057_at	8.76823382836946	8.1730322536769	8.50660185717743	8.29878789610962	8.83338177356576	8.6206561151811	9.10441651904797	8.81937702279127
1058_at	11.4972981965415	11.6814435659982	10.158464172749	10.2077060137061	4.29118504867081	4.08169424436471	5.91150724888632	5.70369424700114
1059_at	6.07561642392615	6.0452994586367	7.38139651478393	6.1873200185522	4.88843124396414	4.61737382943963	3.25755637618346	6.51286284321617
106_at	4.76847834104768	5.91519444757641	6.23463530471	5.12865299128122	8.03652889503356	8.30710596170723	6.91868618593955	7.66974797565564
1060_g_at	9.32054011952128	8.49424153700552	9.15306094917148	8.62857527982486	9.33027666730563	8.5235965346996	9.04623312740535	9.69915878932971
1061_at	8.2784367372279	7.69226162165429	8.58297510308701	8.69907441121051	9.11792683723816	9.16234034485216	8.45885857415653	9.0722773758028
1062_g_at	7.61880077157226	6.2350519000603	5.40432153047115	6.03527436477879	7.60770202170806	7.17781815363634	5.39278119247173	7.41430721939209
1063_s_at	11.7408076638951	11.4879211259405	9.39736007521575	9.59492201968583	6.60750071157022	6.13121568808648	6.92358097738953	6.05143103164969
1064_at	7.52957699936552	6.90930835896045	8.51317974940216	8.79293360948409	6.85037393679387	7.28171172692669	5.16712973041923	3.29634904129855
1065_at	7.42681319514852	7.01325838302166	8.11705974809219	7.05605059226584	7.88758504044518	7.48887364673777	8.25920276458679	7.69266019379615
1066_at	6.31675634340276	5.76256580075398	7.61167618937841	5.72772772342331	8.05603188785105	6.32485339441842	8.79226501323661	9.00908771995246
1067_at	7.65675508680694	7.40433992805832	7.93875372331217	7.55441781572514	8.40303983788531	8.32799086567115	8.53637110072511	9.23106908667912
1068_g_at	6.4647493630583	5.9379660237983	5.77160181024541	5.65218256590244	6.63486624089966	5.52770692323363	7.32634584801768	6.99959770322723
1069_at	6.40265664360216	5.49877651175478	4.91557305081048	3.12462035175727	3.06003066103438	2.47122073022836	5.57889819816986	4.45792582273572
107_at	6.13910580228274	5.88867170815224	5.61176019570081	4.50645306000063	5.88983347195491	6.17190753569615	7.29197519481585	6.41935828464068
1070_at	6.72271584377466	6.55920411337963	7.23686001897514	8.26236090295123	7.67449608002157	7.75712085978392	6.09140173495863	5.35427331273081
1071_at	5.84270641102845	5.32336950184142	5.6364545048677	5.67721162802135	6.55718395267801	6.06668318452817	5.68811458163701	5.69503506285399
1072_g_at	8.19986835629022	7.81999942217102	6.20422625160051	7.67913703061746	7.7359617577329	6.85041741408206	7.70339630112924	7.23216569129668
1073_at	9.63214072060206	8.89315726211395	10.5852187736759	10.528647664649	9.5958653127958	9.74381143034048	8.98865704859915	8.85575392058352
1074_at	8.25272234404697	7.80094482645765	9.69753672849689	9.95345680262711	8.30565224913876	8.68655997875284	6.94128330438307	5.75444107812749
1075_f_at	4.82960944208125	3.46863136435256	6.11247739585648	5.99702918461658	3.61710491768119	5.45097510342567	6.05436679845429	6.41185340327559
1076_at	5.17490767932201	5.33391298959041	6.52695450746142	6.49609976731936	6.71193683093203	5.44394733601341	5.54457108528465	3.34572924734185
1077_at	4.4594861544308	2.56716496360146	3.92154036938882	3.08915336796571	5.5248266776127	4.00466011071632	6.16021492849715	6.83630695967459
1078_at	4.26460570267628	5.98701234996533	4.40061854803088	6.00206582549061	4.99352672650705	5.69038241540379	4.99781528446113	5.48011729950461
1079_g_at	5.72773249073518	6.0244191200794	7.73736117578693	6.96204620027643	8.43512263843717	7.22929940707265	6.6950491061531	7.72818369239712
108_g_at	9.81671365606016	10.1190828067867	9.03823505612315	8.67204389699033	6.38945231919382	6.38868309993965	6.91103534660184	8.33412561563851
1080_s_at	5.10977362030584	4.87783495923599	4.0048075700958	3.40764069690225	5.31742706768572	3.27872333757914	10.1299010590931	11.6745306824793
1081_at	10.2729886276739	10.0471395277208	10.9980518888547	11.0902228973984	10.8845113628625	10.7300880217283	9.77947271359237	10.0837219915945
1082_at	6.97532209685752	7.16656900934159	8.6171813741996	8.01682937048647	6.5619059792747	6.50484098328565	6.84360392089901	8.23238817648516
1083_s_at	7.03995852761364	7.82983312065241	7.17634574480277	7.7543674231656	7.77547134928341	8.10797721936757	8.02526761509131	8.9832997308689
1084_at	5.45269866755988	6.17601069497408	6.93174190205824	5.53131598512711	5.80156350956297	6.15349276765472	5.68346777332045	5.99382488518993
1085_s_at	8.30334844745123	8.08153644676558	8.38198708207042	8.65674783884282	9.08327460706465	9.42203650492738	9.31072302270844	9.99020829142437
1086_at	6.01876583145887	6.24713234525263	6.51380398259237	7.63677164213161	6.85213719793393	7.55687358778558	7.53294939681392	8.44478010546417
1087_at	7.21936028933847	7.42981325723605	7.00400868600311	5.38922322648903	10.2903505986109	10.471549753304	6.00050567585141	8.00799659315218
1088_at	7.00564221334643	6.12771706850355	6.28720316076756	6.05918594227841	5.32757723619956	5.86654231711924	3.62356551202018	5.36698942123456
1089_i_at	8.31964770580338	7.65644957379564	5.07063273643491	9.00186676067929	8.69071257406606	8.46288540024426	9.45150913197167	9.84496278642195
109_at	10.2009091032653	10.0664419672283	9.47284225197515	9.77640370613937	9.65303273595183	9.91339990663446	10.9595276004387	10.94793938649
1090_f_at	7.4402054262475	5.83573090581078	7.31778403227267	5.64861863072467	5.38051255509392	6.15594593716702	4.07045727062484	6.31170432922323
1091_at	13.5516725954371	13.8598557495222	11.406159463295	11.1973128764476	10.1142447394308	9.68395638945991	8.76458877640403	9.54499188557996
1092_at	7.89153300642902	7.79558533047821	9.27313352490986	9.03943963722212	9.86175401079336	9.74004668633542	9.84589165931846	10.5795711057013
1093_at	5.84316900311552	5.98696997886208	5.84669396178633	6.61009571454643	8.37860565467358	8.42789256855515	6.18509294082479	6.98968088349539
1094_g_at	7.4859094265008	7.6592878883832	7.99228336326704	7.95604573037711	9.32261591631695	9.79779213571439	8.18386528840533	8.07733216515216
1095_s_at	5.45252305169651	3.75848191518192	3.90217834606255	2.00117149834911	5.54856646853697	6.4867782286806	5.2073383932682	6.74960811468654
1096_g_at	6.80061051282552	5.67656302637308	5.74488992729932	5.1401362785444	6.42251415071579	7.77888174729192	7.64749569509342	6.80516153039802
1097_s_at	7.60485108298332	7.25328384677724	7.67768039423349	7.45193597767705	8.48451291015834	8.61753607231786	9.32372548632132	9.30743153962504
1098_at	4.55720545929191	2.664571147786	3.62511242869858	3.31999332764467	6.94119867606294	7.45781310448999	6.36405789167131	4.55669143306017
1099_s_at	8.23081476116443	8.99119885254474	7.05773761398926	6.92089414252116	8.55343002374789	6.22977654675138	8.05633754235282	7.03567073812289
110_at	7.74091509779991	7.6997545657148	9.69640332106088	9.39585864136892	10.8145402601889	10.4895802808433	7.86872058984021	9.1138274521728
1100_at	8.70522362885841	9.11740190473729	8.15321853257928	8.31486882123623	8.60044791932404	8.63626494065421	8.74188307278067	8.49598892779384
1101_at	10.2534569900623	9.68474884624391	10.0047944345597	10.1149726729113	8.90915541631116	8.37637028632964	8.94336542038819	8.75793923301672
1102_s_at	6.53992084534405	4.73178009831908	6.47849831567704	6.32037385864693	6.96185567641404	7.4031754273685	5.29428146069902	5.03970033021055
1103_at	6.14753262367983	6.62733990683954	7.31921978295859	7.40838701436161	11.690704284929	11.701309495021	15.1316279014396	14.3981080060356
