brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2	brain.mean	fetal.brain.mean	liver.mean	fetal.liver.mean	brain.fetal.to.adult	liver.fetal.to.adult
100_g_at	9.36720601959809	9.50248885347841	7.89062611297186	7.95883827710151	7.69571781875947	8.10282532336486	9.21794997308349	8.90409966409696	9.43484743653825	7.92473219503669	9.06102481859022	7.89927157106217	-1.51011524150156	-1.16175324752806
1000_at	11.5662374344788	11.5119977392605	10.5576478264529	10.343639101215	10.2605399516584	10.1254798765681	10.2332613047632	10.4909508386264	11.5391175868696	10.450643463834	10.3621060716948	10.1930099141132	-1.08847412303567	-0.169096157581579
1001_at	7.78522277179261	6.69045886391499	7.91338923385913	7.5697538307906	8.24542860275296	8.52635738311349	8.39065772787193	8.47028428264324	7.2378408178538	7.74157153232487	8.43047100525759	8.38589299293322	0.503730714471065	-0.0445780123243633
1002_f_at	6.55536038192231	7.45333339489453	5.92816964286695	7.53205132979081	7.83993917198559	8.16345646487688	11.0171963279887	11.0885539868674	7.00434688840842	6.73011048632888	11.052875157428	8.00169781843123	-0.274236402079541	-3.05117733899677
1003_s_at	7.25786277923645	7.39495591053042	8.74876254068086	8.1929365991397	9.44841297123835	8.19229381739854	9.18984116697077	9.41964933062286	7.32640934488343	8.47084956991028	9.30474524879681	8.82035339431845	1.14444022502685	-0.484391854478366
1004_at	7.31767281539855	8.80479020915813	7.75653206760594	8.04631027637248	9.59339551882537	8.87290208158528	9.5813178245088	9.79562926090362	8.06123151227834	7.90142117198921	9.68847354270621	9.23314880020532	-0.159810340289129	-0.455324742500888
1005_at	9.83390969284481	10.4240772045687	9.4647945374644	9.49573362571609	11.9443838134106	12.2399543213743	11.7219301462093	11.7841012181661	10.1289934487068	9.48026408159025	11.7530156821877	12.0921690673925	-0.648729367116525	0.339153385204801
1006_at	4.41672872361017	4.30499217382017	4.17044185541574	3.07955252090719	5.74131846146033	4.69340388217658	4.28566407967555	4.31151701085248	4.36086044871517	3.62499718816146	4.29859054526402	5.21736117181845	-0.735863260553707	0.918770626554435
1007_s_at	11.7950697144349	12.2527616862033	11.6876724624688	11.5177122251722	9.6350824840914	9.39038465449477	9.55027459617261	9.49720388224473	12.0239157003191	11.6026923438205	9.52373923920867	9.51273356929308	-0.421223356498547	-0.0110056699155887
1008_f_at	10.7708190243295	10.680209907296	11.4649136535461	10.5911940522515	12.0016788992948	11.56849776904	12.8785700009201	12.0360455156623	10.7255144658128	11.0280538528988	12.4573077582912	11.7850883341674	0.302539387086012	-0.672219424123778
